[2016-06-09 15:38:57,500][INFO ][cluster.service          ] [Alfie O'Meggan] new_master {Alfie O'Meggan}{ajUFwQjHREu-62rdt5-6jA}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-06-09 15:38:57,625][INFO ][gateway                  ] [Alfie O'Meggan] recovered [6] indices into cluster_state
[2016-06-09 15:38:57,740][INFO ][http                     ] [Alfie O'Meggan] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-06-09 15:38:57,742][INFO ][node                     ] [Alfie O'Meggan] started
[2016-06-09 15:38:58,518][INFO ][cluster.routing.allocation] [Alfie O'Meggan] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[megacorp][4], [megacorp][0], [megacorp][0]] ...]).
[2016-06-09 15:39:32,388][INFO ][node                     ] [Alfie O'Meggan] stopping ...
[2016-06-09 15:39:32,459][INFO ][node                     ] [Alfie O'Meggan] stopped
[2016-06-09 15:39:32,459][INFO ][node                     ] [Alfie O'Meggan] closing ...
[2016-06-09 15:39:32,464][INFO ][node                     ] [Alfie O'Meggan] closed
[2016-06-09 15:54:36,466][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
[2016-06-09 15:54:36,656][INFO ][node                     ] [Elizabeth "Betsy" Braddock] version[2.3.3], pid[11340], build[218bdf1/2016-05-17T15:40:04Z]
[2016-06-09 15:54:36,658][INFO ][node                     ] [Elizabeth "Betsy" Braddock] initializing ...
[2016-06-09 15:54:37,091][INFO ][plugins                  ] [Elizabeth "Betsy" Braddock] modules [reindex, lang-expression, lang-groovy], plugins [], sites []
[2016-06-09 15:54:37,110][INFO ][env                      ] [Elizabeth "Betsy" Braddock] using [1] data paths, mounts [[Boot (C:)]], net usable_space [1.5tb], net total_space [1.7tb], spins? [unknown], types [NTFS]
[2016-06-09 15:54:37,113][INFO ][env                      ] [Elizabeth "Betsy" Braddock] heap size [989.8mb], compressed ordinary object pointers [unknown]
[2016-06-09 15:54:38,884][INFO ][node                     ] [Elizabeth "Betsy" Braddock] initialized
[2016-06-09 15:54:38,885][INFO ][node                     ] [Elizabeth "Betsy" Braddock] starting ...
[2016-06-09 15:54:39,211][INFO ][transport                ] [Elizabeth "Betsy" Braddock] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-06-09 15:54:39,219][INFO ][discovery                ] [Elizabeth "Betsy" Braddock] elasticsearch/YIbVktUwRNSUCMFMEIjMlA
[2016-06-09 15:54:43,291][INFO ][cluster.service          ] [Elizabeth "Betsy" Braddock] new_master {Elizabeth "Betsy" Braddock}{YIbVktUwRNSUCMFMEIjMlA}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-06-09 15:54:43,422][INFO ][gateway                  ] [Elizabeth "Betsy" Braddock] recovered [6] indices into cluster_state
[2016-06-09 15:54:43,518][INFO ][http                     ] [Elizabeth "Betsy" Braddock] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-06-09 15:54:43,520][INFO ][node                     ] [Elizabeth "Betsy" Braddock] started
[2016-06-09 15:54:44,399][INFO ][cluster.routing.allocation] [Elizabeth "Betsy" Braddock] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[megacorp][2], [megacorp][3], [megacorp][3]] ...]).
